Rk,Tm,Player,College,MP_T,VORP_original,Year,Redraft,VORP
42 ,SEA,Olumide Oyedeji,International,587 ,(0.4),2000 ,27 ,0.0 
45 ,SAC,Jabari Smith,Louisiana State University,1063 ,(0.5),2000 ,29 ,(0.5)
11 ,BOS,Jerome Moiso,"University of California, Los Angeles",1392 ,(0.6),2000 ,30 ,(0.6)
22 ,NYK,Donnell Harvey,University of Florida,3318 ,(0.6),2000 ,30 ,(0.6)
26 ,DEN,Mamadou N'Diaye,Auburn University,858 ,(0.7),2000 ,32 ,0.0 
39 ,NYK,Lavor Postell,St. John's University,446 ,(0.7),2000 ,32 ,0.0 
27 ,IND,Primoz Brezec,International,6192 ,(0.8),2000 ,34 ,(0.8)
55 ,GSW,Chris Porter,Auburn University,1147 ,(0.8),2000 ,34 ,(0.8)
12 ,DAL,Etan Thomas,Syracuse University,7084 ,(1.0),2000 ,36 ,(1.0)
32 ,CHI,A.J. Guyton,Indiana University,1246 ,(1.1),2000 ,37 ,(1.1)
24 ,CHI,Dalibor Bagaric,International,973 ,(1.2),2000 ,38 ,0.0 
25 ,PHO,Jake Tsakalidis,International,5005 ,(1.3),2000 ,39 ,(1.3)
31 ,DAL,Dan Langhi,Vanderbilt University,1253 ,(1.5),2000 ,40 ,(1.5)
17 ,SEA,Desmond Mason,Oklahoma State University,19641 ,(1.9),2000 ,41 ,(1.9)
14 ,DET,Mateen Cleaves,Michigan State University,1863 ,(2.0),2000 ,42 ,(2.0)
13 ,ORL,Courtney Alexander,"California State University, Fresno",4067 ,(2.1),2000 ,43 ,(2.1)
15 ,MIL,Jason Collier,Georgia Institute of Technology,2178 ,(2.3),2000 ,44 ,(2.3)
40 ,ATL,Hanno Mottola,University of Utah,2360 ,(2.3),2000 ,44 ,(2.3)
19 ,CHH,Jamaal Magloire,University of Kentucky,14621 ,(3.3),2000 ,45 ,(3.3)
10 ,ORL,Keyon Dooling,University of Missouri,14134 ,(3.6),2000 ,46 ,(3.6)
4 ,CHI,Marcus Fizer,Iowa State University,6032 ,(4.1),2000 ,47 ,(4.1)
7 ,CHI,Chris Mihm,University of Texas at Austin,8758 ,(4.1),2000 ,48 ,(4.1)
23 ,UTA,DeShawn Stevenson,High School,18396 ,(4.6),2000 ,49 ,(4.6)
3 ,ATL,Pau Gasol,International,37202 ,51.8 ,2001 ,1 ,51.8 
6 ,MEM,Shane Battier,Duke University,30004 ,37.0 ,2001 ,2 ,37.0 
28 ,SAS,Tony Parker,International,34618 ,27.5 ,2001 ,3 ,27.5 
25 ,SAC,Gerald Wallace,University of Alabama,24731 ,27.3 ,2001 ,4 ,27.3 
2 ,LAC,Tyson Chandler,High School,28074 ,26.2 ,2001 ,5 ,26.2 
10 ,BOS,Joe Johnson,University of Arkansas,41186 ,26.2 ,2001 ,5 ,26.2 
5 ,GSW,Jason Richardson,Michigan State University,29241 ,24.4 ,2001 ,7 ,24.4 
30 ,GSW,Gilbert Arenas,University of Arizona,19351 ,24.1 ,2001 ,8 ,24.1 
13 ,HOU,Richard Jefferson,University of Arizona,32516 ,20.1 ,2001 ,9 ,20.1 
37 ,DET,Mehmet Okur,International,18429 ,15.7 ,2001 ,10 ,15.7 
19 ,POR,Zach Randolph,Michigan State University,31322 ,13.5 ,2001 ,11 ,13.5 
14 ,GSW,Troy Murphy,University of Notre Dame,19921 ,9.5 ,2001 ,12 ,9.5 
20 ,CLE,Brendan Haywood,University of North Carolina,18680 ,8.4 ,2001 ,13 ,8.4 
12 ,SEA,Vladimir Radmanovic,International,16164 ,7.7 ,2001 ,14 ,7.7 
26 ,PHI,Samuel Dalembert,Seton Hall University,21646 ,7.2 ,2001 ,15 ,7.2 
27 ,MEM,Jamaal Tinsley,Iowa State University,14443 ,5.7 ,2001 ,16 ,5.7 
41 ,SEA,Bobby Simmons,DePaul University,11513 ,5.4 ,2001 ,17 ,5.4 
8 ,CLE,DeSagana Diop,International,8403 ,4.3 ,2001 ,18 ,4.3 
7 ,NJN,Eddie Griffin,Seton Hall University,6729 ,1.7 ,2001 ,19 ,1.7 
39 ,SEA,Earl Watson,"University of California, Los Angeles",19494 ,1.0 ,2001 ,20 ,1.0 
52 ,UTA,Jarron Collins,Stanford University,8542 ,0.5 ,2001 ,21 ,0.5 
18 ,HOU,Jason Collins,Stanford University,14974 ,0.2 ,2001 ,22 ,0.2 
11 ,BOS,Kedrick Brown,Okaloosa-Walton Community College,1935 ,(0.1),2001 ,23 ,(0.1)
56 ,PHI,Alvin Jones,Georgia Institute of Technology,126 ,(0.1),2001 ,23 ,0.0 
22 ,ORL,Jeryl Sasser,Southern Methodist University,1061 ,(0.2),2001 ,25 ,(0.2)
31 ,ORL,Omar Cook,St. John's University,213 ,(0.2),2001 ,25 ,0.0 
35 ,CLE,Jeff Trepagnier,University of Southern California,270 ,(0.2),2001 ,25 ,0.0 
44 ,CHI,Sean Lampley,University of California,550 ,(0.2),2001 ,25 ,0.0 
47 ,MEM,Antonis Fotsis,International,320 ,(0.2),2001 ,25 ,0.0 
49 ,POR,Ruben Boumtje-Boumtje,Georgetown University,276 ,(0.2),2001 ,25 ,0.0 
21 ,BOS,Joseph Forte,University of North Carolina,125 ,(0.3),2001 ,31 ,0.0 
40 ,IND,Jamison Brewer,Auburn University,468 ,(0.3),2001 ,31 ,0.0 
48 ,MIA,Ken Johnson,Ohio State University,156 ,(0.3),2001 ,31 ,0.0 
1 ,WAS,Kwame Brown,High School,13389 ,(0.4),2001 ,34 ,(0.4)
16 ,CHH,Kirk Haston,Indiana University,134 ,(0.4),2001 ,34 ,0.0 
45 ,MIN,Loren Woods,University of Arizona,2428 ,(0.6),2001 ,36 ,(0.6)
50 ,PHO,Alton Ford,University of Houston,524 ,(0.6),2001 ,36 ,0.0 
36 ,PHI,Damone Brown,Syracuse University,351 ,(0.7),2001 ,38 ,0.0 
24 ,UTA,Raul Lopez,International,2135 ,(0.8),2001 ,39 ,(0.8)
33 ,ATL,Terence Morris,University of Maryland,1934 ,(0.8),2001 ,39 ,(0.8)
17 ,TOR,Michael Bradley,Villanova University,2016 ,(0.9),2001 ,41 ,(0.9)
32 ,MEM,Will Solomon,Clemson University,1584 ,(1.1),2001 ,42 ,(1.1)
34 ,NJN,Brian Scalabrine,University of Southern California,6772 ,(1.1),2001 ,42 ,(1.1)
53 ,DAL,Kenny Satterfield,University of Cincinnati,1062 ,(1.1),2001 ,42 ,(1.1)
23 ,HOU,Brandon Armstrong,Pepperdine University,699 ,(1.2),2001 ,43 ,0.0 
15 ,ORL,Steven Hunter,DePaul University,5993 ,(1.3),2001 ,46 ,(1.3)
29 ,CHI,Trenton Hassell,Austin Peay State University,16278 ,(1.3),2001 ,46 ,(1.3)
9 ,DET,Rodney White,University of North Carolina at Charlotte,3354 ,(1.5),2001 ,48 ,(1.5)
4 ,CHI,Eddy Curry,High School,13109 ,(5.0),2001 ,49 ,(5.0)
7 ,NYK,Nene Hilario,International,22735 ,23.4 ,2002 ,1 ,23.4 
34 ,CLE,Carlos Boozer,Duke University,26901 ,22.1 ,2002 ,2 ,22.1 
1 ,HOU,Yao Ming,International,15818 ,17.0 ,2002 ,3 ,17.0 
9 ,PHO,Amar'e Stoudemire,High School,26254 ,16.8 ,2002 ,4 ,16.8 
23 ,DET,Tayshaun Prince,University of Kentucky,31576 ,16.6 ,2002 ,5 ,16.6 
45 ,MEM,Matt Barnes,"University of California, Los Angeles",20190 ,16.1 ,2002 ,6 ,16.1 
3 ,GSW,Mike Dunleavy,Duke University,26499 ,15.9 ,2002 ,7 ,15.9 
10 ,MIA,Caron Butler,University of Connecticut,28333 ,15.9 ,2002 ,7 ,15.9 
55 ,SAS,Luis Scola,,18540 ,7.2 ,2002 ,9 ,7.2 
26 ,SAS,John Salmons,University of Miami,23672 ,5.8 ,2002 ,10 ,5.8 
11 ,WAS,Jared Jeffries,Indiana University,13579 ,3.8 ,2002 ,11 ,3.8 
14 ,IND,Fred Jones,University of Oregon,10299 ,2.8 ,2002 ,12 ,2.8 
4 ,MEM,Drew Gooden,University of Kansas,20127 ,2.3 ,2002 ,13 ,2.3 
33 ,MIL,Dan Gadzuric,"University of California, Los Angeles",7793 ,1.3 ,2002 ,14 ,1.3 
8 ,LAC,Chris Wilcox,University of Maryland,12474 ,1.2 ,2002 ,15 ,1.2 
49 ,BOS,Darius Songaila,Wake Forest University,9229 ,0.7 ,2002 ,16 ,0.7 
30 ,CHI,Roger Mason,University of Virginia,9147 ,0.5 ,2002 ,17 ,0.5 
37 ,HOU,Tito Maddox,"California State University, Fresno",35 ,0.0 ,2002 ,18 ,0.0 
46 ,UTA,Jamal Sampson,University of California,631 ,0.0 ,2002 ,18 ,0.0 
47 ,MIL,Chris Owens,University of Texas at Austin,6 ,0.0 ,2002 ,18 ,0.0 
56 ,SAS,Randy Holcomb,San Diego State University,11 ,0.0 ,2002 ,18 ,0.0 
2 ,CHI,Jay Williams,Duke University,1961 ,(0.1),2002 ,22 ,(0.1)
16 ,PHI,Jiri Welsch,International,4596 ,(0.1),2002 ,22 ,(0.1)
18 ,ORL,Curtis Borchardt,Stanford University,1117 ,(0.1),2002 ,22 ,(0.1)
32 ,DEN,Vincent Yarbrough,University of Tennessee,1381 ,(0.1),2002 ,22 ,(0.1)
39 ,WAS,Juan Carlos Navarro,International,2117 ,(0.1),2002 ,22 ,(0.1)
57 ,SAC,Corsley Edwards,Central Connecticut State University,110 ,(0.1),2002 ,22 ,0.0 
31 ,MEM,Robert Archibald,University of Illinois at Urbana-Champaign,328 ,(0.2),2002 ,28 ,0.0 
15 ,HOU,Bostjan Nachbar,International,5628 ,(0.4),2002 ,29 ,(0.4)
22 ,PHO,Casey Jacobsen,Stanford University,5320 ,(0.4),2002 ,29 ,(0.4)
28 ,SAC,Dan Dickau,Gonzaga University,4617 ,(0.4),2002 ,29 ,(0.4)
52 ,MIA,Rasual Butler,La Salle University,17219 ,(0.4),2002 ,29 ,(0.4)
21 ,POR,Qyntel Woods,Northeast Mississippi Community College,2060 ,(0.5),2002 ,33 ,(0.5)
53 ,NJN,Tamar Slay,Marshall University,517 ,(0.5),2002 ,33 ,0.0 
40 ,LAC,Mario Kasun,International,569 ,(0.6),2002 ,35 ,0.0 
25 ,DEN,Frank Williams,University of Illinois at Urbana-Champaign,952 ,(0.7),2002 ,36 ,0.0 
36 ,ATL,David Andersen,International,1264 ,(0.7),2002 ,36 ,(0.7)
13 ,MIL,Marcus Haislip,University of Tennessee,854 ,(0.9),2002 ,38 ,0.0 
27 ,LAL,Chris Jefferies,"California State University, Fresno",861 ,(0.9),2002 ,38 ,0.0 
19 ,UTA,Ryan Humphrey,University of Notre Dame,772 ,(1.1),2002 ,40 ,0.0 
24 ,NJN,Nenad Krstic,International,10547 ,(1.5),2002 ,41 ,(1.5)
43 ,CHI,Lonny Baxter,University of Maryland,1884 ,(1.5),2002 ,41 ,(1.5)
6 ,CLE,Dajuan Wagner,University of Memphis,2202 ,(2.0),2002 ,43 ,(2.0)
5 ,DEN,Nikoloz Tskitishvili,International,1946 ,(2.1),2002 ,44 ,(2.1)
17 ,WAS,Juan Dixon,University of Maryland,8509 ,(2.1),2002 ,44 ,(2.1)
12 ,LAC,Melvin Ely,"California State University, Fresno",6005 ,(2.4),2002 ,46 ,(2.4)
41 ,MIL,Ronald Murray,Shaw University,11077 ,(2.6),2002 ,47 ,(2.6)
20 ,TOR,Kareem Rush,University of Missouri,5956 ,(3.2),2002 ,48 ,(3.2)
1 ,CLE,LeBron James,High School,38478 ,108.6 ,2003 ,1 ,108.6 
5 ,MIA,Dwyane Wade,Marquette University,30560 ,56.4 ,2003 ,2 ,56.4 
3 ,DEN,Carmelo Anthony,Syracuse University,32796 ,28.6 ,2003 ,3 ,28.6 
4 ,TOR,Chris Bosh,Georgia Institute of Technology,31936 ,27.5 ,2003 ,4 ,27.5 
18 ,NOH,David West,Xavier University,27291 ,23.6 ,2003 ,5 ,23.6 
21 ,ATL,Boris Diaw,International,27485 ,19.8 ,2003 ,6 ,19.8 
51 ,NJN,Kyle Korver,Creighton University,25562 ,19.4 ,2003 ,7 ,19.4 
7 ,CHI,Kirk Hinrich,University of Kansas,27015 ,14.7 ,2003 ,8 ,14.7 
12 ,SEA,Nick Collison,University of Kansas,18400 ,11.4 ,2003 ,9 ,11.4 
29 ,DAL,Josh Howard,Wake Forest University,15350 ,10.3 ,2003 ,10 ,10.3 
45 ,CHI,Matt Bonner,University of Florida,13356 ,10.1 ,2003 ,11 ,10.1 
47 ,UTA,Mo Williams,University of Alabama,23872 ,8.9 ,2003 ,12 ,8.9 
25 ,DET,Carlos Delfino,International,11580 ,8.1 ,2003 ,13 ,8.1 
28 ,SAS,Leandro Barbosa,International,17423 ,7.9 ,2003 ,14 ,7.9 
27 ,MEM,Kendrick Perkins,High School,17147 ,7.0 ,2003 ,15 ,7.0 
42 ,ORL,Zaza Pachulia,International,19122 ,6.9 ,2003 ,16 ,6.9 
14 ,SEA,Luke Ridnour,University of Oregon,21623 ,5.8 ,2003 ,17 ,5.8 
43 ,MIL,Keith Bogans,University of Kentucky,14527 ,4.5 ,2003 ,18 ,4.5 
49 ,IND,James Jones,University of Miami,10717 ,4.0 ,2003 ,19 ,4.0 
8 ,MIL,T.J. Ford,University of Texas at Austin,11882 ,3.6 ,2003 ,20 ,3.6 
11 ,GSW,Mickael Pietrus,International,11950 ,3.4 ,2003 ,21 ,3.4 
32 ,LAL,Luke Walton,University of Arizona,9685 ,1.9 ,2003 ,22 ,1.9 
38 ,WAS,Steve Blake,University of Maryland,20823 ,1.3 ,2003 ,23 ,1.3 
2 ,DET,Darko Milicic,International,8638 ,0.8 ,2003 ,24 ,0.8 
6 ,LAC,Chris Kaman,Central Michigan University,19642 ,0.0 ,2003 ,25 ,0.0 
33 ,MIA,Jerome Beasley,University of North Dakota,5 ,0.0 ,2003 ,25 ,0.0 
39 ,NYK,Slavko Vranes,International,3 ,0.0 ,2003 ,25 ,0.0 
48 ,NOH,James Lang,International,55 ,0.0 ,2003 ,25 ,0.0 
9 ,NYK,Mike Sweetney,Georgetown University,3610 ,(0.1),2003 ,29 ,(0.1)
16 ,BOS,Troy Bell,Boston College,34 ,(0.1),2003 ,29 ,0.0 
26 ,MIN,Ndudi Ebi,International,86 ,(0.1),2003 ,29 ,0.0 
40 ,GSW,Derrick Zimmerman,Mississippi State University,32 ,(0.1),2003 ,29 ,0.0 
58 ,DET,Andreas Glyniadakis,International,81 ,(0.2),2003 ,33 ,0.0 
37 ,ATL,Travis Hansen,Brigham Young University,507 ,(0.4),2003 ,34 ,0.0 
56 ,BOS,Brandon Hunter,Ohio University,630 ,(0.5),2003 ,35 ,0.0 
13 ,MEM,Marcus Banks,"University of Nevada, Las Vegas",5571 ,(0.6),2003 ,36 ,(0.6)
24 ,LAL,Brian Cook,University of Illinois at Urbana-Champaign,5649 ,(0.6),2003 ,36 ,(0.6)
15 ,ORL,Reece Gaines,University of Louisville,605 ,(0.9),2003 ,38 ,0.0 
22 ,NJN,Zoran Planinic,International,1584 ,(0.9),2003 ,38 ,(0.9)
23 ,POR,Travis Outlaw,High School,13026 ,(0.9),2003 ,38 ,(0.9)
30 ,NYK,Maciej Lampe,International,632 ,(1.1),2003 ,41 ,0.0 
17 ,PHO,Zarko Cabarkapa,International,1550 ,(1.3),2003 ,42 ,(1.3)
10 ,WAS,Jarvis Hayes,University of Georgia,9898 ,(2.2),2003 ,43 ,(2.2)
31 ,CLE,Jason Kapono,"University of California, Los Angeles",9068 ,(2.3),2003 ,44 ,(2.3)
19 ,UTA,Sasha Pavlovic,International,8888 ,(3.2),2003 ,45 ,(3.2)
20 ,BOS,Dahntay Jones,Duke University,9787 ,(4.1),2003 ,46 ,(4.1)
41 ,SEA,Willie Green,University of Detroit Mercy,14783 ,(5.9),2003 ,47 ,(5.9)
9 ,PHI,Andre Iguodala,University of Arizona,31836 ,40.5 ,2004 ,1 ,40.5 
1 ,ORL,Dwight Howard,High School,31092 ,36.5 ,2004 ,2 ,36.5 
17 ,ATL,Josh Smith,High School,28988 ,30.0 ,2004 ,3 ,30.0 
7 ,PHO,Luol Deng,Duke University,29050 ,22.7 ,2004 ,4 ,22.7 
43 ,NYK,Trevor Ariza,"University of California, Los Angeles",22766 ,20.8 ,2004 ,5 ,20.8 
15 ,BOS,Al Jefferson,High School,24884 ,15.1 ,2004 ,6 ,15.1 
18 ,NOH,J.R. Smith,High School,22543 ,14.3 ,2004 ,7 ,14.3 
5 ,WAS,Devin Harris,University of Wisconsin,20465 ,13.3 ,2004 ,8 ,13.3 
30 ,ORL,Anderson Varejao,International,14959 ,13.3 ,2004 ,8 ,13.3 
20 ,DEN,Jameer Nelson,Saint Joseph's University,21481 ,13.2 ,2004 ,10 ,13.2 
25 ,BOS,Tony Allen,Oklahoma State University,15868 ,12.6 ,2004 ,11 ,12.6 
26 ,SAC,Kevin Martin,Western Carolina University,21559 ,11.3 ,2004 ,12 ,11.3 
6 ,ATL,Josh Childress,Stanford University,10432 ,8.6 ,2004 ,13 ,8.6 
11 ,GSW,Andris Biedrins,International,11146 ,8.6 ,2004 ,13 ,8.6 
24 ,BOS,Delonte West,Saint Joseph's University,11842 ,7.6 ,2004 ,15 ,7.6 
2 ,CHA,Emeka Okafor,University of Connecticut,18702 ,7.5 ,2004 ,16 ,7.5 
19 ,MIA,Dorell Wright,High School,12280 ,7.4 ,2004 ,17 ,7.4 
3 ,CHI,Ben Gordon,University of Connecticut,20366 ,4.7 ,2004 ,18 ,4.7 
27 ,LAL,Sasha Vujacic,International,8500 ,2.2 ,2004 ,19 ,2.2 
28 ,SAS,Beno Udrih,International,17625 ,2.1 ,2004 ,20 ,2.1 
38 ,CHI,Chris Duhon,Duke University,15526 ,2.0 ,2004 ,21 ,2.0 
4 ,LAC,Shaun Livingston,High School,13747 ,1.9 ,2004 ,22 ,1.9 
14 ,UTA,Kris Humphries,University of Minnesota,13543 ,0.2 ,2004 ,23 ,0.2 
22 ,NJN,Viktor Khryapa,International,2351 ,0.1 ,2004 ,24 ,0.1 
16 ,UTA,Kirk Snyder,"University of Nevada, Reno",3540 ,0.0 ,2004 ,25 ,0.0 
45 ,CHA,Bernard Robinson,University of Michigan,1909 ,0.0 ,2004 ,25 ,0.0 
21 ,UTA,Pavel Podkolzin,International,28 ,(0.1),2004 ,27 ,0.0 
32 ,WAS,Peter John Ramos,International,20 ,(0.1),2004 ,27 ,0.0 
35 ,SEA,Andre Emmett,Texas Tech University,73 ,(0.1),2004 ,27 ,0.0 
55 ,HOU,Luis Flores,Manhattan College,77 ,(0.1),2004 ,27 ,0.0 
34 ,ATL,Donta Smith,Southeastern Illinois College,560 ,(0.2),2004 ,31 ,0.0 
23 ,POR,Sergei Monia,International,343 ,(0.3),2004 ,32 ,0.0 
50 ,DAL,Vassilis Spanoulis,International,272 ,(0.3),2004 ,32 ,0.0 
10 ,CLE,Luke Jackson,University of Oregon,724 ,(0.4),2004 ,34 ,0.0 
31 ,CHI,Jackson Vroman,Iowa State University,1111 ,(0.5),2004 ,35 ,(0.5)
33 ,LAC,Lionel Chalmers,Xavier University,433 ,(0.5),2004 ,35 ,0.0 
46 ,POR,Ha Seung-Jin,International,316 ,(0.5),2004 ,35 ,0.0 
47 ,MIA,Pape Sow,"California State University, Fullerton",879 ,(0.6),2004 ,38 ,0.0 
53 ,MIA,Matt Freije,Vanderbilt University,588 ,(0.6),2004 ,38 ,0.0 
12 ,SEA,Robert Swift,High School,1500 ,(0.8),2004 ,40 ,(0.8)
36 ,ORL,Antonio Burks,University of Memphis,789 ,(0.9),2004 ,41 ,0.0 
29 ,IND,David Harrison,University of Colorado,2686 ,(1.0),2004 ,42 ,(1.0)
40 ,BOS,Justin Reed,University of Mississippi,1436 ,(1.4),2004 ,43 ,(1.4)
8 ,TOR,Rafael Araujo,Brigham Young University,1585 ,(1.8),2004 ,44 ,(1.8)
37 ,ATL,Royal Ivey,University of Texas at Austin,6162 ,(2.8),2004 ,45 ,(2.8)
13 ,POR,Sebastian Telfair,High School,12149 ,(5.8),2004 ,46 ,(5.8)
4 ,NOH,Chris Paul,Wake Forest University,27725 ,66.4 ,2005 ,1 ,66.4 
3 ,UTA,Deron Williams,University of Illinois at Urbana-Champaign,27208 ,23.9 ,2005 ,2 ,23.9 
1 ,MIL,Andrew Bogut,University of Utah,18929 ,21.2 ,2005 ,3 ,21.2 
30 ,NYK,David Lee,University of Florida,22816 ,20.3 ,2005 ,4 ,20.3 
56 ,DET,Amir Johnson,High School,15015 ,17.4 ,2005 ,5 ,17.4 
17 ,IND,Danny Granger,University of New Mexico,18487 ,16.1 ,2005 ,6 ,16.1 
40 ,GSW,Monta Ellis,High School,27013 ,12.5 ,2005 ,7 ,12.5 
57 ,PHO,Marcin Gortat,International,15309 ,11.3 ,2005 ,8 ,11.3 
5 ,CHA,Raymond Felton,University of North Carolina,25385 ,10.0 ,2005 ,9 ,10.0 
10 ,LAL,Andrew Bynum,High School,10690 ,9.0 ,2005 ,10 ,9.0 
2 ,ATL,Marvin Williams,University of North Carolina,22596 ,8.6 ,2005 ,11 ,8.6 
8 ,NYK,Channing Frye,University of Arizona,17338 ,8.6 ,2005 ,11 ,8.6 
45 ,PHI,Louis Williams,High School,16442 ,8.3 ,2005 ,13 ,8.3 
21 ,PHO,Nate Robinson,University of Washington,13878 ,7.8 ,2005 ,14 ,7.8 
36 ,MIL,Ersan Ilyasova,International,12721 ,6.3 ,2005 ,15 ,6.3 
37 ,LAL,Ronny Turiaf,Gonzaga University,8020 ,6.0 ,2005 ,16 ,6.0 
22 ,DEN,Jarrett Jack,Georgia Institute of Technology,22559 ,5.7 ,2005 ,17 ,5.7 
49 ,WAS,Andray Blatche,High School,12462 ,5.4 ,2005 ,18 ,5.4 
23 ,SAC,Francisco Garcia,University of Louisville,11853 ,4.9 ,2005 ,19 ,4.9 
6 ,POR,Martell Webster,High School,13914 ,4.6 ,2005 ,20 ,4.6 
33 ,NOH,Brandon Bass,Louisiana State University,15833 ,3.5 ,2005 ,21 ,3.5 
34 ,UTA,C.J. Miles,High School,13152 ,3.4 ,2005 ,22 ,3.4 
24 ,HOU,Luther Head,University of Illinois at Urbana-Champaign,7797 ,3.2 ,2005 ,23 ,3.2 
28 ,SAS,Ian Mahinmi,International,7347 ,3.1 ,2005 ,24 ,3.1 
50 ,BOS,Ryan Gomes,Providence College,13463 ,2.3 ,2005 ,25 ,2.3 
7 ,TOR,Charlie Villanueva,University of Connecticut,13578 ,0.6 ,2005 ,26 ,0.6 
55 ,SEA,Lawrence Roberts,Mississippi State University,1150 ,0.2 ,2005 ,27 ,0.2 
26 ,DET,Jason Maxiell,University of Cincinnati,11379 ,0.1 ,2005 ,28 ,0.1 
38 ,ORL,Travis Diener,Marquette University,2660 ,0.1 ,2005 ,28 ,0.1 
42 ,GSW,Chris Taft,University of Pittsburgh,144 ,0.0 ,2005 ,30 ,0.0 
44 ,ORL,Martynas Andriuskevicius,International,9 ,0.0 ,2005 ,30 ,0.0 
48 ,SEA,Mickael Gelabale,International,2348 ,0.0 ,2005 ,30 ,0.0 
20 ,DEN,Julius Hodge,North Carolina State University,98 ,(0.1),2005 ,33 ,0.0 
43 ,NJN,Mile Ilic,International,6 ,(0.1),2005 ,33 ,0.0 
47 ,MIN,Bracey Wright,Indiana University,325 ,(0.1),2005 ,33 ,0.0 
51 ,UTA,Robert Whaley,Walsh University,212 ,(0.1),2005 ,33 ,0.0 
54 ,NYK,Dijon Thompson,"University of California, Los Angeles",93 ,(0.1),2005 ,33 ,0.0 
58 ,TOR,Uros Slokar,International,72 ,(0.1),2005 ,33 ,0.0 
12 ,LAC,Yaroslav Korolev,International,168 ,(0.2),2005 ,39 ,0.0 
13 ,CHA,Sean May,University of North Carolina,1868 ,(0.2),2005 ,39 ,(0.2)
60 ,DET,Alex Acker,Pepperdine University,234 ,(0.3),2005 ,41 ,0.0 
29 ,MIA,Wayne Simien,University of Kansas,507 ,(0.4),2005 ,42 ,0.0 
14 ,MIN,Rashad McCants,University of North Carolina,5037 ,(0.6),2005 ,43 ,(0.6)
18 ,BOS,Gerald Green,High School,10086 ,(0.7),2005 ,44 ,(0.7)
32 ,LAC,Daniel Ewing,Duke University,1683 ,(0.7),2005 ,44 ,(0.7)
39 ,LAL,Von Wafer,Florida State University,2475 ,(0.7),2005 ,44 ,(0.7)
53 ,BOS,Orien Greene,University of Louisiana at Lafayette,1555 ,(0.7),2005 ,44 ,(0.7)
41 ,TOR,Roko Ukic,International,987 ,(0.8),2005 ,48 ,0.0 
27 ,POR,Linas Kleiza,University of Missouri,8185 ,(0.9),2005 ,49 ,(0.9)
15 ,NJN,Antoine Wright,Texas A&M University,5714 ,(1.5),2005 ,50 ,(1.5)
9 ,GSW,Ike Diogu,Arizona State University,2795 ,(2.0),2005 ,51 ,(2.0)
31 ,ATL,Salim Stoudamire,University of Arizona,2672 ,(2.1),2005 ,52 ,(2.1)
16 ,TOR,Joey Graham,Oklahoma State University,6117 ,(2.8),2005 ,53 ,(2.8)
19 ,MEM,Hakim Warrick,Syracuse University,10624 ,(2.9),2005 ,54 ,(2.9)
25 ,SEA,Johan Petro,International,7262 ,(4.0),2005 ,55 ,(4.0)
47 ,UTA,Paul Millsap,Louisiana Tech University,22340 ,30.8 ,2006 ,1 ,30.8 
24 ,MEM,Kyle Lowry,Villanova University,19814 ,26.6 ,2006 ,2 ,26.6 
21 ,PHO,Rajon Rondo,University of Kentucky,21202 ,20.9 ,2006 ,3 ,20.9 
2 ,CHI,LaMarcus Aldridge,University of Texas at Austin,25233 ,20.7 ,2006 ,4 ,20.7 
8 ,HOU,Rudy Gay,University of Connecticut,25802 ,16.1 ,2006 ,5 ,16.1 
6 ,MIN,Brandon Roy,University of Washington,11561 ,15.2 ,2006 ,6 ,15.2 
13 ,PHI,Thabo Sefolosha,International,15615 ,12.0 ,2006 ,7 ,12.0 
14 ,UTA,Ronnie Brewer,University of Arkansas,11539 ,10.7 ,2006 ,8 ,10.7 
11 ,ORL,J.J. Redick,Duke University,14967 ,8.1 ,2006 ,9 ,8.1 
35 ,TOR,P.J. Tucker,University of Texas at Austin,9406 ,7.1 ,2006 ,10 ,7.1 
7 ,BOS,Randy Foye,Villanova University,17995 ,4.0 ,2006 ,11 ,4.0 
42 ,CLE,Daniel Gibson,University of Texas at Austin,9316 ,2.3 ,2006 ,12 ,2.3 
20 ,NYK,Renaldo Balkman,University of South Carolina,3064 ,2.2 ,2006 ,13 ,2.2 
4 ,POR,Tyrus Thomas,Louisiana State University,7932 ,1.7 ,2006 ,14 ,1.7 
26 ,LAL,Jordan Farmar,"University of California, Los Angeles",9805 ,1.6 ,2006 ,15 ,1.6 
32 ,HOU,Steve Novak,Marquette University,5635 ,1.6 ,2006 ,15 ,1.6 
36 ,MIN,Craig Smith,Boston College,6826 ,0.9 ,2006 ,17 ,0.9 
23 ,NJN,Josh Boone,University of Connecticut,4482 ,0.1 ,2006 ,18 ,0.1 
17 ,IND,Shawne Williams,University of Memphis,5368 ,0.0 ,2006 ,19 ,0.0 
38 ,GSW,Kosta Perovic,International,38 ,0.0 ,2006 ,19 ,0.0 
41 ,ORL,James Augustine,University of Illinois at Urbana-Champaign,156 ,0.0 ,2006 ,19 ,0.0 
52 ,LAC,Guillermo Diaz,University of Miami,18 ,0.0 ,2006 ,19 ,0.0 
43 ,NOK,Marcus Vinicius,International,172 ,(0.1),2006 ,23 ,0.0 
9 ,GSW,Patrick O'Bryant,Bradley University,524 ,(0.2),2006 ,24 ,0.0 
30 ,POR,Joel Freeland,International,1821 ,(0.2),2006 ,24 ,(0.2)
31 ,POR,James White,University of Cincinnati,583 ,(0.2),2006 ,24 ,0.0 
